sigma,gap,method,n,mean_rmse,sd_rmse,median_rmse,p90_rmse
0.05,4,locf,48,0.317252289168199,0.12605982768567245,0.3229611897645537,0.4918203171157494
0.05,4,nearest,48,0.20448590039608205,0.05357945310955871,0.20080112961913882,0.26464820923418153
0.05,4,linear,48,0.09823883498092507,0.03472401083346292,0.09802067260435016,0.13281143308981108
0.05,8,locf,48,0.5446507613410302,0.17530521628911808,0.5369432301254481,0.7280345452202465
0.05,8,nearest,48,0.3422951535105874,0.07124892913075281,0.3463102566159202,0.42667867618677996
0.05,8,linear,48,0.22858115831899806,0.0642146764267595,0.21627155733308273,0.31251140944765615
0.05,16,locf,48,0.8379218000327379,0.20410501970069359,0.8420711341738422,1.0827131669322156
0.05,16,nearest,48,0.5394406715036216,0.11335064220721704,0.540058289638429,0.6587918626385783
0.05,16,linear,48,0.4430878297043523,0.11228728674016326,0.45433622033724236,0.5864198504489095
0.15,4,locf,48,0.34282805698466684,0.13811357231165725,0.33767677036963717,0.5288896329460535
0.15,4,nearest,48,0.2529528706128722,0.06442314540529574,0.2604146903344656,0.3302575950762343
0.15,4,linear,48,0.1512224362969774,0.06415192383728009,0.13748992705927665,0.2192004157442585
0.15,8,locf,48,0.5551817481523721,0.1870896664485672,0.5447530407118056,0.7611817307190764
0.15,8,nearest,48,0.36552626346666156,0.08715495353142874,0.3669786185343391,0.46502775246713185
0.15,8,linear,48,0.2542776450862915,0.08108392965672374,0.23797152835823632,0.36017372693838756
0.15,16,locf,48,0.8441057924688554,0.21520817096452544,0.8234137688240482,1.0915245398114857
0.15,16,nearest,48,0.5546750505483155,0.123468279535246,0.5742222531537353,0.6815530807132142
0.15,16,linear,48,0.45234741816248425,0.11594294030024985,0.4508654995221985,0.6125552273377933
0.3,4,locf,48,0.4228285473150433,0.16431951657306662,0.4476200641788246,0.623415666735978
0.3,4,nearest,48,0.3650409046993341,0.10283910218055033,0.35342140554391127,0.4614837402614226
0.3,4,linear,48,0.25592225427376686,0.11362734673877975,0.2374800580530353,0.37519025627043084
0.3,8,locf,48,0.6010081562347693,0.2118576473876034,0.6304959313385042,0.8512192400960807
0.3,8,nearest,48,0.44020395584969213,0.11666886483328512,0.43965860309694804,0.5939688763754222
0.3,8,linear,48,0.3253185235651288,0.11055410038780884,0.3053403988525314,0.471933944456314
0.3,16,locf,48,0.8724175432808762,0.24381174187077467,0.8609197487249844,1.1420534220003036
0.3,16,nearest,48,0.6099582208458052,0.14160317189480745,0.6143677979063237,0.7767240091629664
0.3,16,linear,48,0.49172395440383737,0.1269555176890548,0.47322053679861553,0.670345918933497
