trial,sigma,gap,method,n_missing,rmse,mae,bias
1,0.05,4,locf,12,0.35390311604809366,0.31657536710018647,-0.05085677394204315
1,0.05,4,nearest,12,0.19223393540029993,0.1538415314943022,-0.06494209944337777
1,0.05,4,linear,12,0.09643071693071552,0.07126217397059972,-0.06494209944337777
2,0.05,4,locf,12,0.3594417233368325,0.3089967619199185,0.1583227288577129
2,0.05,4,nearest,12,0.2362704809468853,0.20781630916145707,0.1285220932652439
2,0.05,4,linear,12,0.13599021025041233,0.1285220932652439,0.1285220932652439
3,0.05,4,locf,12,0.16017811361670092,0.14395718769301072,0.06006696515456897
3,0.05,4,nearest,12,0.21865895047357573,0.20088197831925547,0.08114211350422766
3,0.05,4,linear,12,0.2070352241047219,0.20088197831925547,0.08114211350422766
4,0.05,4,locf,12,0.23791323897326688,0.1591818635374338,0.10926468479769469
4,0.05,4,nearest,12,0.17195080608194532,0.1275340105602454,-0.04040270021125491
4,0.05,4,linear,12,0.08275013402789194,0.07829270467585253,-0.040402700211254895
5,0.05,4,locf,12,0.5604209803084063,0.499746999269322,0.1933154943619245
5,0.05,4,nearest,12,0.3225879269576621,0.2812077597308705,0.06927714045269405
5,0.05,4,linear,12,0.08137663070437082,0.06927714045269405,0.06927714045269405
6,0.05,4,locf,12,0.30404245889712667,0.23562386894123688,-0.07876717754123895
6,0.05,4,nearest,12,0.1797590331887996,0.14014259639927018,0.03355886605680213
6,0.05,4,linear,12,0.11050561281968489,0.10628749545146259,0.033558866056802146
7,0.05,4,locf,12,0.234571566076495,0.19362673482925233,0.19362673482925233
7,0.05,4,nearest,12,0.17768172448223019,0.13467421216132108,-0.024234023585435038
7,0.05,4,linear,12,0.09289566127156615,0.07269358066744545,-0.024234023585435017
8,0.05,4,locf,12,0.21384052579047172,0.14303373447747547,-0.06003836797718026
8,0.05,4,nearest,12,0.2186493200202285,0.14602734428795805,0.007962502899516352
8,0.05,4,linear,12,0.13049975866536193,0.11456619508429434,0.007962502899516341
9,0.05,4,locf,12,0.1198799050571376,0.09842429902635626,-0.02839965642000138
9,0.05,4,nearest,12,0.20081200345141326,0.17102405930892653,-0.16467553547490854
